,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
0,4078,41,3,8.313607139317558,3.737669618283368,1.3862943611198906,3.737669618283368,1.3862943611198906,0.34472300756340213,-0.0724984368883118,2.2024264971824348,1.1993735203949296,1.6752484434680284,0.8772021072060492,2.2159819370538223,1.7514154138779734,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,2,0.1558121854002441,1,1.0,False,0,1
1,33,2,1,3.5263605246161616,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.6822978240005995,0.5254074907218134,0.40553139322387916,-0.7360687410817779,-0.003838314248407685,0.21396720560231527,0.08013712952674934,0.597218822884404,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,0,1,2,4.048545672923957,0,1.0,True,0,0
2,13227,135,17,9.490091074101684,4.912654885736052,2.8903717578961645,4.023594781085251,1.732867951399863,0.5544734936137956,-0.20854211410341522,1.46564891789199,1.6750157654250897,2.4228268234266523,2.3163721020251233,2.4473872072079064,2.3285137093747577,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.37574892434839996,1,1.0,True,0,1
3,43,1,0,3.784189633918261,0.6931471805599453,0.0,0.6931471805599453,0.0,1.27150992514342,0.5221162484473696,-0.7561914018435325,-0.6318306696923209,-0.2618134200183668,-0.44926769600141864,-0.24801434185961874,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,2,-1.703999700347714,1,1.0,False,0,0
4,222,2,0,5.407171771460119,1.0986122886681098,0.0,1.0986122886681098,0.0,0.7601119042549123,-0.20854211410341522,1.487656812454511,0.02432692389683775,-0.003838314248407685,-0.44926769600141864,0.08013712952674934,-0.5569777681091652,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.5075341012265449,1,1.0,True,0,1
5,168,1,1,5.1298987149230735,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.11127321577086532,0.5254074907218134,-0.6648761600867248,-0.08777216662058096,-0.2618134200183668,0.21396720560231527,-0.24801434185961874,0.597218822884404,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,1,-0.1699148977359773,1,0.4,False,0,0
6,138,0,0,4.9344739331306915,0.0,0.0,0.0,0.0,-0.8103542705948069,0.5221162484473696,-0.3167437828122188,-0.16678070995722544,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.7817173031017021,0.75,0,0,0,1,0,0,2,2.6417952571540346,0,1.0,True,0,0
7,373587,1204,54,12.830908864906622,7.094234845924755,4.007333185232471,4.023594781085251,1.732867951399863,-2.586493109883137,0.5221162484473696,-0.14371053658634916,3.0256794058484773,3.8108459395503744,3.385131844733901,2.4473872072079064,2.3285137093747577,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7893311247842406,0.6666666666666666,0,0,0,1,0,0,2,19.34397375043665,0,1.0,True,0,0
8,1876,0,0,7.537430036586509,0.0,0.0,0.0,0.0,0.5368333092243432,-0.0724984368883118,2.222584092336993,0.8855718536074076,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,2,0.24045379122199356,1,1.0,True,0,1
9,50,1,0,3.9318256327243257,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6683147471678873,-0.0724984368883118,-0.6055062873606928,-0.5721427165947959,-0.2618134200183668,-0.44926769600141864,-0.24801434185961874,-0.5569777681091652,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8003156420739824,0.5625,0,0,0,0,1,0,1,-1.1222631252641924,1,0.6,False,0,1
