,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,views_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,views_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
0,4078,41,3,8.313607139317558,3.737669618283368,1.3862943611198906,3.737669618283368,1.3862943611198906,8.313607139317558,5.198497031265826,3.258096538021482,8.661812881026181,8.313607139317558,3.737669618283368,1.3862943611198906,3.737669618283368,1.3862943611198906,8.313607139317558,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,2,0.599470618495479,1,1.0,False,0,1
1,33,2,1,3.5263605246161616,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.5263605246161616,6.836259277277067,3.4339872044851463,7.086737934510577,3.5263605246161616,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,3.5263605246161616,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,0,1,2,0.9632960016789075,0,1.0,True,0,0
2,13227,135,17,9.490091074101684,4.912654885736052,2.8903717578961645,4.023594781085251,1.732867951399863,9.490091074101684,5.455321115357702,3.2180755046974316,8.015987811027237,9.490091074101684,4.912654885736052,2.8903717578961645,4.023594781085251,1.732867951399863,9.490091074101684,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.6797071268738298,1,1.0,True,0,1
3,43,1,0,3.784189633918261,0.6931471805599453,0.0,0.6931471805599453,0.0,3.784189633918261,6.333279628139691,3.4330189939851112,6.068425588244111,3.784189633918261,0.6931471805599453,0.0,0.6931471805599453,0.0,3.784189633918261,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,2,1.0419276400106758,1,1.0,False,0,0
4,222,2,0,5.407171771460119,1.0986122886681098,0.0,1.0986122886681098,0.0,5.407171771460119,5.707110264748875,3.2180755046974316,8.035278911144667,5.407171771460119,1.0986122886681098,0.0,1.0986122886681098,0.0,5.407171771460119,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.7093738238015764,1,1.0,True,0,1
5,168,1,1,5.1298987149230735,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,5.1298987149230735,4.912654885736052,3.4339872044851463,6.148468295917647,5.1298987149230735,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,5.1298987149230735,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,1,0.7977072625335386,1,0.4,False,0,0
6,138,0,0,4.9344739331306915,0.0,0.0,0.0,0.0,4.9344739331306915,3.784189633918261,3.4330189939851112,6.453624998892692,4.9344739331306915,0.0,0.0,0.0,0.0,4.9344739331306915,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.7817173031017021,0.75,0,0,0,1,0,0,2,0.5854593412468305,0,1.0,True,0,0
7,373587,1204,54,12.830908864906622,7.094234845924755,4.007333185232471,4.023594781085251,1.732867951399863,11.21930989847643,1.6094379124341005,3.4330189939851112,6.6052979209482015,12.830908864906622,7.094234845924755,4.007333185232471,4.023594781085251,1.732867951399863,11.21930989847643,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7893311247842406,0.6666666666666666,0,0,0,1,0,0,2,0.24329031461116907,0,1.0,True,0,0
8,1876,0,0,7.537430036586509,0.0,0.0,0.0,0.0,7.537430036586509,5.43372200355424,3.258096538021482,8.679482094459956,7.537430036586509,0.0,0.0,0.0,0.0,7.537430036586509,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,2,0.6253217331581303,1,1.0,True,0,1
9,50,1,0,3.9318256327243257,0.6931471805599453,0.0,0.6931471805599453,0.0,3.9318256327243257,5.594711379601839,3.258096538021482,6.20050917404269,3.9318256327243257,0.6931471805599453,0.0,0.6931471805599453,0.0,3.9318256327243257,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8003156420739824,0.5625,0,0,0,0,1,0,1,0.9008458441677172,1,0.6,False,0,1
